test_interpolation_function_left_eq,test_interpolation_variable_left_eq,test_extension_action,test_constant_neq,test_datetime_eq,test_extension_operand_gt,test_interpolation_variable_right_eq,test_datetime_gt,test_interpolation_function_right_eq,test_datetime_lteq,test_constant_gt,test_extension_operand_lt,test_constant_eq,test_extension_operand_lteq,test_datetime_gteq,test_constant_lteq,test_constant_gteq,test_extension_operand_eq,test_extension_operand_neq,test_datetime_lt,test_extension_operator,test_datetime_neq,test_extension_operand_gteq,test_constant_lt,
0.004,0.004,0.03,0.011,0.008,0.007,0.004,0.01,0.005,0.01,0.25,0.006,0.016,0.006,0.007,0.136,0.01,0.004,0.01,0.019,0.005,0.007,0.01,0.016,
0.004,0.006,0.021,0.011,0.032,0.023,0.004,0.006,0.004,0.008,0.02,0.009000000000000001,0.01,0.014,0.009000000000000001,0.042,0.013000000000000001,0.008,0.008,0.041,0.005,0.008,0.007,0.058,
0.004,0.004,0.023,0.025,0.008,0.036000000000000004,0.004,0.005,0.004,0.009000000000000001,0.025,0.007,0.019,0.006,0.015,0.025,0.041,0.005,0.005,0.011,0.005,0.079,0.01,0.034,
0.014,0.004,0.023,0.024,0.008,0.081,0.005,0.008,0.004,0.008,0.025,0.009000000000000001,0.027,0.006,0.01,0.09,0.042,0.005,0.006,0.04,0.005,0.018000000000000002,0.008,0.025,
0.004,0.004,0.025,0.013000000000000001,0.051000000000000004,0.011,0.004,0.007,0.004,0.019,0.021,0.009000000000000001,0.014,0.11,0.009000000000000001,0.101,0.009000000000000001,0.024,0.004,0.015,0.005,0.006,0.01,0.031,
0.005,0.006,0.023,0.014,0.098,0.005,0.004,0.013000000000000001,0.004,0.008,0.046,0.013000000000000001,0.025,0.006,0.007,0.015,0.009000000000000001,0.027,0.005,0.058,0.007,0.037,0.005,0.037,
0.004,0.003,0.021,0.019,0.016,0.01,0.004,0.02,0.004,0.007,0.014,0.011,0.013000000000000001,0.007,0.017,0.022,0.009000000000000001,0.024,0.008,0.013000000000000001,0.01,0.025,0.011,0.024,
0.003,0.005,0.024,0.013000000000000001,0.011,0.005,0.004,0.006,0.005,0.061,0.019,0.019,0.013000000000000001,0.006,0.007,0.018000000000000002,0.044,0.019,0.005,0.012,0.006,0.005,0.006,0.019,
0.005,0.004,0.046,0.01,0.024,0.005,0.004,0.036000000000000004,0.004,0.069,0.161,0.009000000000000001,0.012,0.005,0.029,0.012,0.019,0.075,0.005,0.016,0.007,0.011,0.005,0.031,
0.003,0.004,0.025,0.019,0.013000000000000001,0.005,0.004,0.026000000000000002,0.088,0.043000000000000003,0.012,0.007,0.033,0.008,0.005,0.022,0.011,0.005,0.01,0.009000000000000001,0.007,0.006,0.008,0.06,
